#{"t_start": 1790202046.5118334, "env_id": "None"}
r,l,t
-107.429405,6,23.564069
-105.20228,9,23.607779
-100.99017,15,23.637818
-112.56803,21,23.637874
-105.473595,5,23.637889
-112.59784,27,23.695336
-111.10032,9,23.738713
-100.607285,8,23.752948
-94.958084,22,23.783481
-104.54172,6,23.783542
-107.56726,4,23.797997
-93.111374,16,23.798045
-111.45084,22,23.82688
-92.94185,23,23.840687
-107.27224,16,23.870598
-103.98722,7,23.884851
-117.212494,12,23.927798
-108.02575,7,23.927875
-86.513016,29,23.941963
-104.12105,6,23.95668
-97.28904,22,23.956721
-96.046135,12,23.971313
-107.416885,11,24.042937
-106.09795,7,24.058885
-110.39699,18,24.102603
-94.99295,13,24.117308
-108.93762,13,24.131147
-111.4191,15,24.17574
-114.49832,16,24.206113
-101.57325,11,24.22089
-86.95122,36,24.307127
-95.64867,14,24.307228
-109.82633,21,24.351078
-99.068344,9,24.351157
-143.20192,40,24.379925
-104.21215,32,24.394143
-86.82385,20,24.423002
-89.43885,21,24.423059
-100.81757,6,24.438562
-108.125984,10,24.452806
-102.55838,22,24.496395
-103.760315,5,24.525972
-92.8978,15,24.52604
-112.07429,13,24.540785
-103.06589,8,24.540825
-117.27069,12,24.554804
-109.2762,10,24.569803
-107.53681,6,24.612865
-71.11746,29,24.628088
-107.22503,6,24.628129
-90.486404,15,24.656511
-106.57531,7,24.670379
-97.6966,8,24.670424
-106.12453,12,24.712621
-100.56216,17,24.741111
-101.653564,6,24.755313
-96.269485,11,24.769571
-106.18917,11,24.785216
-111.65442,27,24.785259
-114.20919,12,24.799824
-89.49663,15,24.885183
-106.33677,17,24.899512
-105.54462,12,24.914467
-105.337685,4,24.942619
-99.408226,18,25.02923
-92.29602,11,25.058751
-113.603264,24,25.131956
-64.27582,43,25.146669
-104.95203,24,25.14672
-101.63499,9,25.160468
-98.64242,30,25.191217
-104.1909,18,25.20656
-104.22319,32,25.255893
-105.51687,42,25.333038
-102.97799,20,25.364275
-93.270645,16,25.380992
-73.301926,33,25.412424
-90.79855,16,25.458671
-118.2694,21,25.474669
-112.04599,7,25.491551
-98.74409,9,25.507945
-92.87875,16,25.507993
-107.90829,13,25.665141
-135.38852,33,25.681015
-97.71631,12,25.697666
-85.87451,20,25.728314
-86.73207,39,25.759618
-101.22538,7,25.808427
-103.11828,30,25.808501
-99.34906,39,25.808518
-112.51248,9,25.824916
-121.20296,21,25.840368
-89.902374,22,25.840416
-110.62702,10,25.921655
-83.291794,30,25.952932
-86.35661,22,26.01764
-100.70606,12,26.034644
-113.04221,12,26.034703
-104.387215,15,26.049361
-91.9441,17,26.076733
-105.80988,17,26.091315
-80.447754,24,26.106352
-112.15563,9,26.149446
-118.337875,16,26.164755
-106.277374,5,26.164801
-109.07703,9,26.164817
-110.41202,6,26.252306
-110.76416,8,26.266875
-114.39638,15,26.296004
-113.58344,19,26.31053
-108.204056,16,26.340542
-108.443924,8,26.370261
-93.58526,39,26.399263
-96.36679,19,26.440742
-108.39079,34,26.456085
-113.484604,11,26.499354
-95.790016,34,26.54413
-105.62026,18,26.573371
-102.9129,9,26.573431
-112.40211,13,26.5887
-113.519516,8,26.619221
-109.133156,6,26.6339
-122.62102,18,26.633941
-117.87386,13,26.647792
-101.309555,33,26.647839
-100.95212,6,26.67545
-103.20182,6,26.734672
-110.72728,9,26.748467
-97.55505,9,26.762589
-97.15407,10,26.791818
-122.68779,37,26.807446
-95.638756,12,26.807487
-97.91167,17,26.822417
-88.38983,37,26.836921
-99.27783,14,26.941027
-99.42199,26,26.955067
-112.64776,17,26.997897
-88.982124,17,27.013242
-106.557365,12,27.01329
-104.01237,3,27.055672
-103.81959,16,27.055744
-105.35704,17,27.055761
-96.057205,19,27.071368
-100.05643,29,27.101827
-103.25468,13,27.130749
-109.47724,14,27.16065
-118.2564,13,27.190969
-120.93353,29,27.235112
-98.39732,18,27.278989
-91.70058,15,27.27906
-92.84012,17,27.308738
-102.14195,14,27.308797
-105.04389,12,27.308813
-106.48442,12,27.338269
-108.48346,8,27.353868
-94.41008,16,27.426265
-115.19684,11,27.469923
-113.24175,12,27.484771
-115.29543,28,27.48482
-124.85999,30,27.499476
-118.09174,16,27.514889
-119.08841,13,27.529158
-92.7011,16,27.54471
-96.6756,14,27.560063
-107.37196,10,27.676598
-95.64625,16,27.720632
-103.87598,20,27.720699
-90.84773,32,27.751012
-98.88168,18,27.765743
-97.7695,17,27.765789
-102.58544,7,27.779927
-103.77824,9,27.854428
-80.77468,21,27.854522
-90.354294,25,27.854539
-103.79602,10,27.913252
-100.2054,11,27.928965
-99.54732,13,27.974526
-90.5262,18,27.988795
-80.163605,36,28.003076
-112.041954,34,28.066199
-99.88648,22,28.083316
-97.55685,12,28.098658
-106.849045,4,28.127839
-112.61244,16,28.171418
-108.54693,6,28.171486
-93.83061,22,28.185657
-104.20986,26,28.24457
-101.9879,5,28.244654
-112.50958,27,28.260005
-106.8705,13,28.288681
-105.14834,7,28.288742
-97.10228,9,28.30413
-103.59534,14,28.333607
-95.922066,24,28.362993
-97.509094,8,28.363051
-106.07198,3,28.409316
-123.86766,12,28.424525
-113.932556,10,28.439288
-95.53896,12,28.482221
-100.44634,13,28.525223
-69.77883,36,28.525726
-101.25595,19,28.540718
-101.545166,9,28.540771
-75.172066,41,28.583427
-102.251656,11,28.583495
-113.28176,10,28.583513
-108.60472,21,28.597248
-103.143906,16,28.597295
-110.65661,6,28.612231
-96.065254,10,28.627269
-100.30099,11,28.683592
-111.159584,8,28.71094
-102.50679,10,28.725462
-103.32418,9,28.725508
-93.796684,18,28.797744
-103.29609,10,28.825312
-95.047966,18,28.840335
-107.20992,18,28.840383
-89.27458,18,28.883321
-107.10803,11,28.883392
-88.22097,24,28.883407
-129.44519,20,28.900273
-107.406425,6,28.929551
-103.47035,14,28.92961
-103.11127,5,29.001488
-105.69367,8,29.001569
-115.432495,23,29.044502
-105.671005,18,29.058578
-110.570465,8,29.117209
